id;part_code;name;width_mm;height_mm;thickness_mm;quantity;edge_banding;grain_direction;cnc_operation;notes;material_id;cabinet_id
1;randomize only bootleg;next reconsideration;25726;22352;15618;30889;who enraged;dally knowledgeably;hm drat;unless;1;1
2;emphasize frenetically golden;nectarine on whoa;16237;27847;1569;7488;divine dual;deeply and correctly;hollow;solder;2;2
3;although unabashedly superficial;utter lovable mid;16286;22323;32524;10047;notwithstanding pish help;forenenst;gah or;consequently aboard completion;3;3
4;backburn gracious;truthfully shout;26462;1076;22364;19332;but swelter enlightened;muddy so eek;ethyl during without;back inquisitively nucleotidase;4;4
5;absentmindedly gosh sternly;serialize swanling challenge;4510;24770;17051;13588;boo;amid boiling carnival;apropos faithfully;nice yieldingly;5;5
6;duh;yeast;28743;2683;23275;31263;overconfidently;conservation;rosy gee;past gah;6;6
7;under;spirit cripple;31694;20802;19902;6840;lawmaker including;each;recede institute wildly;until amid brilliant;7;7
8;avaricious;insecure because indeed;4217;31256;10225;2754;stingy too;team jam-packed;provided recount;jaggedly;8;8
9;psst glisten;demonstrate;14679;15721;16119;12931;eek make;colorless;phew doubter;garrote;9;9
10;honestly hoot chops;step-mother yowza;13395;7374;27783;32423;happily;lest than mid;obsess dimly bulky;meh readily;10;10
