id;name;description;thumbnail_path;style;primary_finish;price_range;is_active;sort_order
1;defrag;um zowie;upside-down cuckoo down;excluding massage;HIGH_GLOSS_WHITE;grandiose clamor uh-huh;false;14596
2;burdensome;blah because ha;goose behind;ah archaeology gloat;WOOD_WALNUT;jealously authentic musty;false;28069
3;oh whoa unaccountably;which boulevard zowie;uh-huh;yippee;MATTE_WHITE;availability;true;5357
4;ravage an;in waft;justly;specific;MATTE_WHITE;outside paltry underneath;false;20375
5;community;icebreaker;meanwhile imaginative;thorough efface intent;WOOD_OAK;hm;false;23999
6;equatorial whenever concrete;before adventurously shush;slime worth;ambitious hmph while;WOOD_OAK;pertain aha joint;false;26764
7;traduce;beyond fatally mmm;teammate among dish;tedious toward boldly;CUSTOM;black;true;18435
8;outset profitable huge;usable during;aboard;injunction hence;HIGH_GLOSS_WHITE;zowie tomb;false;11872
9;if;phooey likewise shameful;midst;breakable display think;WOOD_PINE;innovate;true;24077
10;ownership meanwhile;silent nor;outrank;yippee consequently necklace;MATTE_WHITE;hasty;true;25412
