id;role;content;token_count;created_at;session_id
1;ASSISTANT;../fake-data/blob/hipster.txt;6647;2026-05-11T16:47:54;1
2;ASSISTANT;../fake-data/blob/hipster.txt;8922;2026-05-11T00:21:44;2
3;ASSISTANT;../fake-data/blob/hipster.txt;1193;2026-05-10T19:41:20;3
4;ASSISTANT;../fake-data/blob/hipster.txt;25141;2026-05-11T13:40:35;4
5;ASSISTANT;../fake-data/blob/hipster.txt;21536;2026-05-11T06:47:23;5
6;SYSTEM;../fake-data/blob/hipster.txt;30014;2026-05-11T06:57:59;6
7;ASSISTANT;../fake-data/blob/hipster.txt;25050;2026-05-11T08:12:30;7
8;USER;../fake-data/blob/hipster.txt;9289;2026-05-11T16:28:03;8
9;ASSISTANT;../fake-data/blob/hipster.txt;24995;2026-05-11T17:58:17;9
10;USER;../fake-data/blob/hipster.txt;17583;2026-05-11T04:02:23;10
