id;job_type;status;input_json;output_json;error_message;created_at;started_at;finished_at;session_id
1;BOM;DONE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T00:14:55;2026-05-11T11:10:51;2026-05-11T15:14:27;1
2;AI_CHAT;PENDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T09:41:30;2026-05-11T05:59:20;2026-05-11T00:37:09;2
3;AI_SPEC_EXTRACTION;FAILED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T13:07:12;2026-05-11T06:37:15;2026-05-11T11:39:04;3
4;EXPORT;CANCELLED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T15:40:37;2026-05-10T19:09:20;2026-05-11T02:18:28;4
5;BOM;CANCELLED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T12:41:41;2026-05-11T15:54:22;2026-05-11T12:14:05;5
6;QUOTE;FAILED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-10T23:58:42;2026-05-11T04:46:41;2026-05-11T14:30:53;6
7;AI_CHAT;PENDING;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T12:36:30;2026-05-11T08:28:12;2026-05-11T00:19:16;7
8;AI_CHAT;CANCELLED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T05:26:23;2026-05-11T16:07:50;2026-05-11T09:17:18;8
9;QUOTE;FAILED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T03:15:33;2026-05-11T01:32:27;2026-05-11T13:41:19;9
10;EXPORT;DONE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2026-05-11T05:51:09;2026-05-11T14:35:58;2026-05-11T07:20:47;10
