id;code;name;hardware_type;unit_cost_mxn;supplier_name;is_active;notes
1;on qua expensive;when gaseous a;OTHER;19699.02;captain verbally lest;false;westernize crowded
2;um carefree;beneath;PULL;25319.78;finally mmm;true;including moral
3;circa by fast;hm failing likewise;HINGE;31141.72;circumnavigate;false;rightfully deliberately
4;request oh where;as toady oddly;PULL;2460.43;provided across;false;stigmatize nor
5;into yuck atomize;powerless tragic entice;SLIDE;13021.78;after misfire ha;false;boohoo
6;after duh;gastropod violin;PULL;10208.01;whoever;false;jeopardise wherever
7;duh tag whether;saloon comparison broadly;HANDLE;13172.58;helpfully;true;wholly towards apprehensive
8;after about commandeer;record;OTHER;28550.44;ah proud;false;gullible
9;selfishly;past gadzooks during;SLIDE;27776.11;pasta even;false;creak after for
10;unkempt;scrabble;HINGE;12271;tail boo;true;aw zowie round
