id;layout;total_width_mm;total_height_mm;total_depth_mm;style;primary_finish;handle_type;countertop_material;sink_position;confirmed_by_client;extracted_json;confirmed_at;primary_material_id
1;ISLAND;5794;21477;6048;phew graceful trusting;MATTE_BLACK;yippee where;jovially;drat mmm;true;../fake-data/blob/hipster.txt;2026-05-11T00:09:29;1
2;PENINSULA;1575;26062;30832;furthermore;CUSTOM;till probable geez;psst certainly;polarisation;true;../fake-data/blob/hipster.txt;2026-05-11T13:48:39;2
3;GALLEY;18536;27017;10167;brr orchestrate retool;CUSTOM;beautifully vice whether;qua shout;snack;true;../fake-data/blob/hipster.txt;2026-05-11T01:31:42;3
4;ISLAND;21183;29374;8722;closely;MATTE_WHITE;warlike obediently;fen gloat gadzooks;lest usually fray;false;../fake-data/blob/hipster.txt;2026-05-11T06:40:11;4
5;ISLAND;15731;10016;5412;alongside but hmph;MATTE_WHITE;fashion;whether;evenly hm;true;../fake-data/blob/hipster.txt;2026-05-11T09:30:50;5
6;U_SHAPE;17183;10148;21901;down till;MATTE_WHITE;hype;monthly salty;norm which;false;../fake-data/blob/hipster.txt;2026-05-10T19:23:43;6
7;ISLAND;22769;22397;17357;cycle;WOOD_OAK;upon;yum oof event;oh headline off;true;../fake-data/blob/hipster.txt;2026-05-10T21:25:11;7
8;LINEAR;8753;23184;12157;electronics;WOOD_PINE;finally;colligate and athwart;wetly till abnormally;true;../fake-data/blob/hipster.txt;2026-05-11T10:26:23;8
9;LINEAR;848;26937;1510;enroll;WOOD_WALNUT;uniform;including;phew;false;../fake-data/blob/hipster.txt;2026-05-11T13:21:44;9
10;ISLAND;6228;22491;259;fooey sermon ha;MATTE_WHITE;newsstand;apud fondly;bicycle;false;../fake-data/blob/hipster.txt;2026-05-11T00:32:00;10
