id;code;name;material_kind;thickness_mm;sheet_width_mm;sheet_height_mm;cost_per_sheet_mxn;cost_per_square_meter_mxn;supplier_name;is_active;notes
1;furthermore cow;than;COUNTERTOP;7657;990;27953;26991.48;31427.16;good-natured;true;upliftingly
2;weird yum ordinary;because down;OTHER;21736;19611;3446;25574.61;9345.36;gee bran;true;hammock negligible unwilling
3;scarily quarrelsomely frenetically;ha;OTHER;9958;16197;24064;9369.52;24127.1;victorious beautifully fisherman;false;till
4;governance;license gratefully preheat;LAMINATE;8485;32626;417;30907.21;23823.91;until;true;enormously after drat
5;bitter out around;whirlwind;SOLID_WOOD;21725;19729;16404;16100.26;29058.07;battle phew oof;false;boohoo yahoo sate
6;separate;even glimmer indolent;SOLID_WOOD;21478;13590;24025;31271.76;9221.68;polished furthermore whereas;false;since
7;dependable;below;MELAMINE;2042;28213;16091;1555.4;8320.6;misread aboard;false;er atop
8;colon whose;between;PLYWOOD;29722;22156;11637;15200.25;31709.65;phew alongside;false;beautifully
9;joshingly lest gosh;ah;MELAMINE;8714;30221;13516;18258.42;15173.5;zowie very;true;midst
10;dusk;boo quietly continually;LAMINATE;8775;7787;7506;31218.58;17241.18;like sinful;true;scram usher
