id;quote_number;status;subtotal_mxn;tax_mxn;total_mxn;labor_mxn;valid_until;public_token;notes;created_at;sent_at;session_id
1;but;DRAFT;28379.31;26645.16;21506.13;25804.7;2026-05-11;meager;shyly snarling;2026-05-10T22:51:15;2026-05-11T10:04:41;1
2;nor degenerate vulga;APPROVED;9026.26;25392.61;30188.68;14650.54;2026-05-10;inasmuch;ugh;2026-05-10T21:54:44;2026-05-11T03:16:43;2
3;toward decongestant ;SENT;3659.49;6753.16;27018.33;30365.75;2026-05-11;er angrily override;but;2026-05-11T14:02:15;2026-05-11T03:57:12;3
4;crest short;SENT;20644.15;19190.9;313.37;31816.85;2026-05-11;coil now typify;lumpy;2026-05-10T23:11:51;2026-05-11T03:33:59;4
5;fooey physical;SENT;7083.66;19630.05;5254.76;24400.66;2026-05-11;delightfully;incidentally reword;2026-05-11T05:06:52;2026-05-11T05:23:39;5
6;sometimes;EXPIRED;11088.55;16998.33;9253.07;752.21;2026-05-11;daily kaleidoscopic;lifestyle;2026-05-11T01:52:42;2026-05-11T04:45:46;6
7;consequently swine;SENT;14116.69;22734.13;21205.88;11907.6;2026-05-11;whenever drat;since;2026-05-11T18:14:40;2026-05-11T15:06:21;7
8;underneath plan;APPROVED;10022.59;28128.3;32741.42;3242.35;2026-05-11;deliberately yum factorise;frankly reluctantly;2026-05-11T13:43:49;2026-05-10T23:02:40;8
9;receptor;DRAFT;7591.46;8109.56;21073.52;14879.67;2026-05-11;meal;part oof under;2026-05-11T02:01:26;2026-05-11T04:30:40;9
10;via fairly;DRAFT;27.87;20905.56;10475.98;2204.45;2026-05-11;accidentally atop often;of;2026-05-10T21:38:45;2026-05-11T02:58:31;10
