id;description;quantity;unit_price_mxn;total_mxn;category;notes;quote_id
1;gorgeous pocket-watch;24047;24941.17;18669.62;failing;react a outside;1
2;farm;8875;22159.16;25804.57;woot illustrious;positively unbalance;2
3;busily consequently because;1539;13744.29;2321.19;private kiddingly musty;outrageous;3
4;mmm;4808;4975.24;11506.02;ick though;mid inside;4
5;underachieve quicker;27400;15338.68;30093.7;characterization uh-huh until;reassemble circa;5
6;advanced misjudge gummy;1283;303.42;7717.82;absent deeply;hunt;6
7;rationalise yahoo among;13396;4373.59;20331.4;briefly;version brr;7
8;aha pale indeed;21133;27814.68;18072.84;inveigle;apud advocate mathematics;8
9;trench phew premier;11078;31458;17002.3;amused;swerve fibre;9
10;boastfully gurn shout;31468;13262.33;24001.85;never boohoo weep;hence silently;10
