id;obstacle_type;label;x_mm;y_mm;z_mm;width_mm;height_mm;depth_mm;notes;session_id
1;GAS;hmph shaft;26223;5811;7524;2888;7303;25517;underneath nor silk;1
2;WATER;eek phooey darn;26945;19327;10571;27784;25206;3053;incidentally unlearn;2
3;GAS;aha;26012;26045;20069;4496;7190;10373;when fooey;3
4;OTHER;now mozzarella aw;9016;17548;293;10577;18116;688;sand volleyball;4
5;WATER;yet quickly towards;12697;15541;18937;25618;28201;20917;instead fictionalize insignificant;5
6;OTHER;midst celebrate;14365;28995;15504;24396;5004;32707;vicinity;6
7;DRAIN;fiddle;15878;26439;11309;13754;8443;23173;hippodrome softly nor;7
8;WATER;barring obedient;30531;2601;25096;31232;30153;32753;rough pfft;8
9;DOOR;respray incidentally;15909;32134;25551;7245;22021;22454;provided whenever fooey;9
10;COLUMN;concerning acknowledge;8906;11894;6931;10097;11274;16626;igloo incidentally;10
