id;name;length_mm;height_mm;angle_deg;position_x;position_y;sort_order;session_id
1;mmm reporter;10028;1365;2769;32028;16032;8779;1
2;ectoderm;28902;30443;8952;24464;3034;23728;2
3;as;1227;25154;10738;23242;25017;983;3
4;uncommon colorfully ;11576;20015;18365;26586;29162;29190;4
5;proceed bah syringe;3600;26624;30305;6429;16177;8793;5
6;times near;15023;12510;25640;9853;21282;29303;6
7;anenst receptor;23537;32655;23152;12311;24766;32672;7
8;however ha;31092;29953;5879;22755;25202;15933;8
9;sans thankfully exce;17970;5482;28222;13131;13732;20618;9
10;until;26137;31514;5519;23462;32376;22638;10
